order_date,region,product,customer_id,unit_price,quantity,revenue
2024-06-12,North,Phone,1095,30795,1,30795
2024-03-11,South,Laptop,1018,126820,3,380460
2024-01-27,North,Tablet,1076,26265,3,78795
2024-04-18,North,Phone,1012,36962,4,147848
2024-02-25,North,Laptop,1072,94131,4,376524
2024-02-20,West,Tablet,1029,36023,3,108069
2024-04-24,East,Tablet,1104,21685,1,21685
2024-01-02,West,Laptop,1044,50769,4,203076
2024-03-12,South,Laptop,1098,112955,2,225910
2024-03-27,North,Phone,1049,17433,4,69732
2024-01-25,East,Headphones,1078,6551,1,6551
2024-03-08,West,Phone,1069,32568,4,130272
2024-02-01,North,Charger,1071,521,1,521
2024-03-16,East,Tablet,1074,47480,1,47480
2024-02-19,North,Phone,1085,40658,3,121974
2024-02-28,North,Headphones,1110,9349,4,37396
2024-02-29,West,Phone,1036,17747,4,70988
2024-04-26,South,Headphones,1048,11498,2,22996
2024-03-31,East,Laptop,1090,85773,3,257319
2024-06-23,South,Phone,1069,16899,3,50697
2024-03-03,West,Laptop,1049,116803,4,467212
2024-03-10,South,Tablet,1088,70680,3,212040
2024-03-24,South,Phone,1106,18556,3,55668
2024-01-09,West,Headphones,1035,10338,1,10338
2024-01-17,East,Laptop,1028,60627,1,60627
2024-06-16,West,Charger,1114,2863,2,5726
2024-06-13,South,Charger,1034,741,2,1482
2024-02-05,East,Laptop,1096,126552,2,253104
2024-05-29,West,Charger,1047,1863,4,7452
2024-02-26,West,Laptop,1012,73483,3,220449
2024-01-13,South,Phone,1081,32159,3,96477
2024-02-10,North,Charger,1050,534,2,1068
2024-04-07,West,Tablet,1068,55920,4,223680
2024-03-05,North,Tablet,1088,21585,4,86340
2024-01-30,East,Tablet,1099,43939,2,87878
2024-06-13,North,Headphones,1038,2521,2,5042
2024-04-21,West,Laptop,1001,128953,4,515812
2024-03-08,South,Tablet,1065,60757,1,60757
2024-01-28,South,Headphones,1020,8373,4,33492
2024-04-05,North,Laptop,1077,115697,2,231394
2024-03-23,North,Charger,1015,2481,4,9924
2024-04-02,South,Headphones,1008,9129,3,27387
2024-03-02,North,Tablet,1011,45851,1,45851
2024-05-04,South,Phone,1017,39253,4,157012
2024-06-17,South,Charger,1034,837,3,2511
2024-05-15,West,Tablet,1028,29268,4,117072
2024-05-18,East,Laptop,1052,62185,1,62185
2024-06-20,West,Headphones,1116,6359,4,25436
2024-05-12,North,Charger,1032,879,1,879
2024-02-27,East,Phone,1003,17568,4,70272
2024-05-30,South,Tablet,1076,22027,4,88108
2024-02-26,North,Phone,1091,20258,3,60774
2024-06-10,South,Phone,1009,48159,3,144477
2024-01-09,North,Headphones,1066,7392,2,14784
2024-03-01,West,Headphones,1028,11970,2,23940
2024-05-18,West,Laptop,1032,102251,3,306753
2024-05-01,South,Charger,1013,700,4,2800
2024-01-25,East,Charger,1055,1279,2,2558
2024-04-15,North,Charger,1087,1002,3,3006
2024-06-16,North,Phone,1052,26837,4,107348
2024-03-27,South,Phone,1025,45818,4,183272
2024-02-18,West,Tablet,1018,30965,3,92895
2024-04-18,East,Laptop,1060,120592,3,361776
2024-03-04,West,Phone,1104,23110,2,46220
2024-05-20,North,Phone,1084,42266,1,42266
2024-05-18,North,Phone,1119,32412,2,64824
2024-03-01,West,Laptop,1063,56910,2,113820
2024-05-03,West,Laptop,1116,50206,3,150618
2024-01-16,West,Laptop,1001,73419,1,73419
2024-04-09,West,Headphones,1037,9358,3,28074
2024-04-18,West,Tablet,1020,70015,3,210045
2024-02-18,South,Headphones,1008,8908,4,35632
2024-05-28,North,Tablet,1096,74268,4,297072
2024-03-21,North,Phone,1075,37403,2,74806
2024-05-02,South,Tablet,1008,34820,3,104460
2024-05-10,South,Phone,1009,21374,1,21374
2024-06-01,South,Phone,1052,16678,3,50034
2024-01-31,South,Tablet,1075,73788,4,295152
2024-06-01,North,Phone,1054,31198,3,93594
2024-06-17,East,Tablet,1120,47890,2,95780
2024-03-07,East,Laptop,1031,72299,2,144598
2024-03-08,South,Charger,1086,2097,1,2097
2024-06-14,West,Headphones,1041,4193,4,16772
2024-01-19,West,Phone,1080,44723,4,178892
2024-05-24,North,Phone,1069,18627,4,74508
2024-02-24,East,Tablet,1017,68925,2,137850
2024-03-30,South,Phone,1048,36834,4,147336
2024-03-13,West,Laptop,1107,76105,3,228315
2024-05-19,North,Headphones,1086,7092,3,21276
2024-05-21,North,Headphones,1113,11929,1,11929
2024-02-04,North,Headphones,1114,2806,2,5612
2024-01-28,South,Tablet,1035,26776,4,107104
2024-03-13,South,Tablet,1092,75016,3,225048
2024-03-28,East,Laptop,1065,108053,4,432212
2024-05-05,North,Headphones,1012,7030,1,7030
2024-06-11,East,Charger,1006,817,1,817
2024-01-01,South,Headphones,1082,2163,3,6489
2024-03-08,West,Laptop,1071,123530,2,247060
2024-06-29,North,Charger,1015,2131,4,8524
2024-01-20,North,Laptop,1107,118840,4,475360
2024-04-04,South,Tablet,1056,74384,2,148768
2024-02-02,East,Phone,1047,32675,2,65350
2024-01-11,South,Headphones,1088,9054,1,9054
2024-03-04,East,Phone,1100,16636,1,16636
2024-05-23,South,Charger,1119,1198,1,1198
2024-03-01,South,Laptop,1113,50854,1,50854
2024-04-15,South,Phone,1095,22392,1,22392
2024-03-26,South,Charger,1035,2161,2,4322
2024-02-10,West,Phone,1112,36556,4,146224
2024-01-10,South,Charger,1026,2195,2,4390
2024-04-27,East,Headphones,1106,7035,3,21105
2024-02-28,North,Laptop,1085,120467,3,361401
2024-02-19,East,Charger,1036,702,4,2808
2024-01-18,East,Headphones,1083,5718,1,5718
2024-05-10,East,Charger,1004,1266,2,2532
2024-01-30,South,Headphones,1075,3827,1,3827
2024-03-08,North,Phone,1077,15197,2,30394
2024-04-21,East,Headphones,1056,3430,3,10290
2024-06-04,North,Tablet,1050,35087,4,140348
2024-05-27,East,Laptop,1006,75184,1,75184
2024-06-30,North,Charger,1067,1647,3,4941
2024-05-17,East,Laptop,1056,101663,1,101663
2024-01-18,East,Headphones,1085,11486,4,45944
2024-02-01,East,Headphones,1086,4311,3,12933
2024-04-14,West,Headphones,1090,8046,2,16092
2024-03-16,South,Tablet,1025,54754,3,164262
2024-04-17,South,Charger,1079,646,4,2584
2024-05-25,West,Headphones,1071,4411,3,13233
2024-01-01,East,Headphones,1027,3343,1,3343
2024-04-20,East,Tablet,1060,39360,4,157440
2024-04-23,South,Charger,1066,2163,3,6489
2024-05-01,North,Laptop,1037,61111,1,61111
2024-05-11,East,Tablet,1012,21802,4,87208
2024-03-01,South,Headphones,1104,9620,1,9620
2024-02-20,North,Laptop,1006,97254,3,291762
2024-03-03,North,Charger,1059,2134,3,6402
2024-04-16,South,Tablet,1092,66843,4,267372
2024-06-27,West,Charger,1052,2893,4,11572
2024-03-03,North,Laptop,1115,66371,4,265484
